name,Pop_25+,Total_Damage,Prop_Dam
Acadia,35573,5318,0.1495
Allen,16817,3640,0.2164
Ascension,46258,4223,0.0913
Assumption,14411,2045,0.1419
Beauregard,21036,6176,0.2936
Calcasieu,114563,44170,0.3856
Cameron,6257,3241,0.5180
East Baton Rouge,245296,17153,0.0699
East Feliciana,13877,1152,0.0830
Evangeline,21511,1670,0.0776
Iberia,43965,6535,0.1486
Iberville,21101,2239,0.1061
Jefferson,298761,93872,0.3142
Jefferson Davis,19352,5779,0.2986
Lafayette,116183,4662,0.0401
Lafourche,55891,9336,0.1670
Livingston,56528,7153,0.1265
Orleans,300568,134664,0.4480
Plaquemines,16448,7217,0.4388
Pointe Coupee,14577,938,0.0643
Rapides,79811,56,0.0007
Sabine,15388,1508,0.0980
St. Bernard,44127,20247,0.4588
St. Charles,29551,8137,0.2754
St. Helena,6489,1757,0.2708
St. James,12840,2464,0.1919
St. John the Baptist,25377,6609,0.2604
St. Landry,53592,5078,0.0948
St. Martin,29617,2551,0.0861
St. Mary,33158,4637,0.1398
St. Tammany,122959,48812,0.3970
Tangipahoa,59909,16242,0.2711
Terrebonne,63271,11392,0.1801
Vermilion,33616,7703,0.2291
Vernon,29329,4439,0.1514
Washington,27954,11147,0.3988
West Baton Rouge,13347,1079,0.0808
West Feliciana,10749,310,0.0288
