name,Less_9,9To12_NoDipl,HS_Grad,SomeColl_NoDeg,Assoc_Deg,Bach_Deg,Grad_PostGrad_Deg,Per_MoreHSGrad,Per_MoreBachDeg
Acadia,6215,6343,13535,4902,1217,2230,1131,65,9
Allen,2430,3752,6389,2240,449,1035,522,63,9
Ascension,3265,6174,19299,9326,1485,4861,1848,80,15
Assumption,3036,2822,5311,1820,361,721,340,59,7
Beauregard,1919,3341,8317,3977,588,1945,949,75,14
Calcasieu,9850,16455,39616,24593,4732,13280,6037,77,17
Cameron,810,1184,2677,963,127,338,158,68,8
East Baton Rouge,11024,28483,64694,58401,7207,47765,27722,84,31
East Feliciana,1365,2698,5483,2458,306,1080,487,71,11
Evangeline,4697,4884,6590,2537,768,1338,697,56,10
Iberia,6695,7855,16943,6326,1233,3580,1333,67,11
Iberville,2797,4449,8198,3299,340,1438,580,66,10
Jefferson,21124,40821,89528,69824,13248,43345,20871,79,22
Jefferson Davis,2704,3225,7967,2964,570,1339,583,69,10
Lafayette,9476,13954,33699,25143,4321,20592,8998,80,26
Lafourche,9861,8957,21236,7427,1502,4769,2139,66,12
Livingston,3818,9060,24408,11152,1629,4707,1754,77,11
Orleans,24190,51892,70477,65760,10842,45211,32196,75,26
Plaquemines,2414,2738,5628,3247,646,1404,371,69,11
Pointe Coupee,2076,2424,5699,2129,389,1317,543,69,13
Rapides,7286,12975,26938,16486,2921,8475,4730,75,17
Sabine,1638,2848,6300,2517,378,1067,640,71,11
St. Bernard,4403,7456,16745,9588,1993,2777,1165,73,9
St. Charles,2071,3848,10662,6418,1379,3663,1510,80,18
St. Helena,738,1372,2565,957,130,413,314,68,11
St. James,1184,2162,5802,2034,366,840,452,74,10
St. John the Baptist,1879,3988,9880,5335,1021,2363,911,77,13
St. Landry,10756,9596,17827,7961,1704,3765,1983,62,11
St. Martin,5635,5357,11202,4112,780,1676,855,63,9
St. Mary,4629,6666,12694,5221,826,2286,836,66,9
St. Tammany,5855,13980,32584,29852,5866,23186,11636,84,28
Tangipahoa,5869,11194,20531,11150,1408,6531,3226,72,16
Terrebonne,9615,11231,22649,10096,1928,5451,2301,67,12
Vermilion,5346,6206,12770,4740,945,2566,1043,66,11
Vernon,1760,4065,10690,7401,1448,2678,1287,80,14
Washington,3018,5865,11227,4198,591,1842,1213,68,11
West Baton Rouge,1226,2323,5422,2551,341,1092,392,73,11
West Feliciana,1230,3795,2582,1901,104,688,449,53,11
