name,Pop_25+,High,Prop_H,Total_Damage,Prop_Damages
Acadia,21171,1881,0.0888,5318,0.1495
Allen,8127,816,0.1004,3640,0.2164
Ascension,26773,5609,0.2095,4223,0.0913
Assumption,8217,967,0.1177,2045,0.1419
Beauregard,12130,1544,0.1273,6176,0.2936
Calcasieu,68757,11328,0.1648,44170,0.3856
Cameron,3592,433,0.1205,3241,0.518
East Baton Rouge,156521,32256,0.2061,17153,0.0699
East Feliciana,6687,995,0.1488,1152,0.083
Evangeline,12769,1042,0.0816,1670,0.0776
Iberia,25319,3064,0.121,6535,0.1486
Iberville,10672,1381,0.1294,2239,0.1061
Jefferson,176424,32071,0.1818,93872,0.3142
Jefferson Davis,11519,1121,0.0973,5779,0.2986
Lafayette,72412,13121,0.1812,4662,0.0401
Lafourche,32093,4060,0.1265,9336,0.167
Livingston,32654,4966,0.1521,7153,0.1265
Orleans,188365,25414,0.1349,134664,0.448
Plaquemines,9001,1591,0.1768,7217,0.4388
Pointe Coupee,8453,1008,0.1192,938,0.0643
Rapides,47161,5853,0.1241,56,0.0007
Sabine,9237,861,0.0932,1508,0.098
St. Bernard,25065,3520,0.1404,20247,0.4588
St. Charles,16393,3786,0.231,8137,0.2754
St. Helena,3865,350,0.0906,1757,0.2708
St. James,6999,1156,0.1652,2464,0.1919
St. John the Baptist,14250,2473,0.1735,6609,0.2604
St. Landry,32332,2444,0.0756,5078,0.0948
St. Martin,17121,1765,0.1031,2551,0.0861
St. Mary,19271,2012,0.1044,4637,0.1398
St. Tammany,69281,19412,0.2802,48812,0.397
Tangipahoa,36516,4131,0.1131,16242,0.2711
Terrebonne,36017,5323,0.1478,11392,0.1801
Vermilion,19836,2122,0.107,7703,0.2291
Vernon,18276,1722,0.0942,4439,0.1514
Washington,16454,1324,0.0805,11147,0.3988
West Baton Rouge,7672,1200,0.1564,1079,0.0808
West Feliciana,3622,726,0.2004,310,0.0288
