name,Pop_25+,Low,Prop_L,Total_Damage,Prop_Damages
Acadia,21171,10003,0.4725,5318,0.1495
Allen,8127,3764,0.4631,3640,0.2164
Ascension,26773,7125,0.2661,4223,0.0913
Assumption,8217,3412,0.4152,2045,0.1419
Beauregard,12130,4583,0.3778,6176,0.2936
Calcasieu,68757,24751,0.3600,44170,0.3856
Cameron,3592,1367,0.3806,3241,0.5180
East Baton Rouge,156521,54113,0.3457,17153,0.0699
East Feliciana,6687,2796,0.4181,1152,0.0830
Evangeline,12769,7171,0.5616,1670,0.0776
Iberia,25319,10709,0.4230,6535,0.1486
Iberville,10672,4748,0.4449,2239,0.1061
Jefferson,176424,55096,0.3123,93872,0.3142
Jefferson Davis,11519,5295,0.4597,5779,0.2986
Lafayette,72412,25129,0.3470,4662,0.0401
Lafourche,32093,11696,0.3644,9336,0.1670
Livingston,32654,9891,0.3029,7153,0.1265
Orleans,188365,87368,0.4638,134664,0.4480
Plaquemines,9001,3055,0.3394,7217,0.4388
Pointe Coupee,8453,3537,0.4184,938,0.0643
Rapides,47161,20071,0.4256,56,0.0007
Sabine,9237,4357,0.4717,1508,0.0980
St. Bernard,25065,8487,0.3386,20247,0.4588
St. Charles,16393,4320,0.2635,8137,0.2754
St. Helena,3865,1934,0.5004,1757,0.2708
St. James,6999,2621,0.3745,2464,0.1919
St. John the Baptist,14250,4601,0.3229,6609,0.2604
St. Landry,32332,17091,0.5286,5078,0.0948
St. Martin,17121,7289,0.4257,2551,0.0861
St. Mary,19271,8739,0.4535,4637,0.1398
St. Tammany,69281,17230,0.2487,48812,0.3970
Tangipahoa,36516,15953,0.4369,16242,0.2711
Terrebonne,36017,13127,0.3645,11392,0.1801
Vermilion,19836,8732,0.4402,7703,0.2291
Vernon,18276,6982,0.3820,4439,0.1514
Washington,16454,8426,0.5121,11147,0.3988
West Baton Rouge,7672,2581,0.3364,1079,0.0808
West Feliciana,3622,1195,0.3299,310,0.0288
