name,Pop_25+,Low,Moderate,High,Prop_L,Prop_M,Prop_H
Acadia,21171,10003,9287,1881,0.4725,0.4387,0.0888
Allen,8127,3764,3547,816,0.4631,0.4364,0.1004
Ascension,26773,7125,14039,5609,0.2661,0.5244,0.2095
Assumption,8217,3412,3838,967,0.4152,0.4671,0.1177
Beauregard,12130,4583,6003,1544,0.3778,0.4949,0.1273
Calcasieu,68757,24751,32678,11328,0.36,0.4753,0.1648
Cameron,3592,1367,1792,433,0.3806,0.4989,0.1205
East Baton Rouge,156521,54113,70152,32256,0.3457,0.4482,0.2061
East Feliciana,6687,2796,2896,995,0.4181,0.4331,0.1488
Evangeline,12769,7171,4556,1042,0.5616,0.3568,0.0816
Iberia,25319,10709,11546,3064,0.423,0.456,0.121
Iberville,10672,4748,4543,1381,0.4449,0.4257,0.1294
Jefferson,176424,55096,89257,32071,0.3123,0.5059,0.1818
Jefferson Davis,11519,5295,5103,1121,0.4597,0.443,0.0973
Lafayette,72412,25129,34162,13121,0.347,0.4718,0.1812
Lafourche,32093,11696,16337,4060,0.3644,0.5091,0.1265
Livingston,32654,9891,17797,4966,0.3029,0.545,0.1521
Orleans,188365,87368,75583,25414,0.4638,0.4013,0.1349
Plaquemines,9001,3055,4355,1591,0.3394,0.4838,0.1768
Pointe Coupee,8453,3537,3908,1008,0.4184,0.4623,0.1192
Rapides,47161,20071,21237,5853,0.4256,0.4503,0.1241
Sabine,9237,4357,4019,861,0.4717,0.4351,0.0932
St. Bernard,25065,8487,13058,3520,0.3386,0.521,0.1404
St. Charles,16393,4320,8287,3786,0.2635,0.5055,0.231
St. Helena,3865,1934,1581,350,0.5004,0.4091,0.0906
St. James,6999,2621,3222,1156,0.3745,0.4604,0.1652
St. John the Baptist,14250,4601,7176,2473,0.3229,0.5036,0.1735
St. Landry,32332,17091,12797,2444,0.5286,0.3958,0.0756
St. Martin,17121,7289,8067,1765,0.4257,0.4712,0.1031
St. Mary,19271,8739,8520,2012,0.4535,0.4421,0.1044
St. Tammany,69281,17230,32639,19412,0.2487,0.4711,0.2802
Tangipahoa,36516,15953,16432,4131,0.4369,0.45,0.1131
Terrebonne,36017,13127,17567,5323,0.3645,0.4877,0.1478
Vermilion,19836,8732,8982,2122,0.4402,0.4528,0.107
Vernon,18276,6982,9572,1722,0.382,0.5237,0.0942
Washington,16454,8426,6704,1324,0.5121,0.4074,0.0805
West Baton Rouge,7672,2581,3891,1200,0.3364,0.5072,0.1564
West Feliciana,3622,1195,1701,726,0.3299,0.4696,0.2004
