name,Less_9,9To12_NoDipl,HS_Grad,SomeColl_NoDeg,Assoc_Deg,Bach_Deg,Grad_PostGrad_Deg,Per_MoreHSGrad,Per_MoreBachDeg
Acadia,6215,6343,13535,4902,1217,2230,1131,65,9
Allen,2430,3752,6389,2240,449,1035,522,63,9
Ascension,3265,6174,19299,9326,1485,4861,1848,80,15
Assumption,3036,2822,5311,1820,361,721,340,59,7
Avoyelles,4280,6427,9856,3179,668,1569,627,60,8
Beauregard,1919,3341,8317,3977,588,1945,949,75,14
Bienville,1076,1787,4196,1732,214,696,471,72,12
Bossier,2833,7576,19900,16110,3721,7283,3814,83,18
Caddo,9557,24367,51202,35297,5905,21543,11140,79,21
Calcasieu,9850,16455,39616,24593,4732,13280,6037,77,17
Caldwell,859,1535,2673,1143,104,387,221,65,9
Cameron,810,1184,2677,963,127,338,158,68,8
Catahoula,1072,1594,2533,935,121,401,248,61,9
Claiborne,1567,2260,3933,1653,369,943,444,66,12
Concordia,1861,2678,4417,2284,350,866,358,65,10
De Soto,1666,3126,6545,2680,449,1131,521,70,10
East Baton Rouge,11024,28483,64694,58401,7207,47765,27722,84,31
East Carroll,916,1416,1731,689,106,400,284,58,12
East Feliciana,1365,2698,5483,2458,306,1080,487,71,11
Evangeline,4697,4884,6590,2537,768,1338,697,56,10
Franklin,2332,2846,4904,1871,160,833,477,61,10
Grant,963,2244,4957,2221,367,747,422,73,10
Iberia,6695,7855,16943,6326,1233,3580,1333,67,11
Iberville,2797,4449,8198,3299,340,1438,580,66,10
Jackson,1001,1654,3994,1864,249,818,482,74,13
Jefferson,21124,40821,89528,69824,13248,43345,20871,79,22
Jefferson Davis,2704,3225,7967,2964,570,1339,583,69,10
Lafayette,9476,13954,33699,25143,4321,20592,8998,80,26
Lafourche,9861,8957,21236,7427,1502,4769,2139,66,12
LaSalle,927,1974,3552,1475,260,685,346,69,11
Lincoln,1414,2910,5438,4524,756,3636,3381,80,32
Livingston,3818,9060,24408,11152,1629,4707,1754,77,11
Madison,1055,1753,2585,1268,165,590,254,63,11
Morehouse,2663,3836,7536,3074,444,1307,586,67,10
Natchitoches,2298,3715,7077,4384,499,2503,1557,73,18
Orleans,24190,51892,70477,65760,10842,45211,32196,75,26
Ouachita,5754,13158,26508,20408,2498,13082,7022,79,23
Plaquemines,2414,2738,5628,3247,646,1404,371,69,11
Pointe Coupee,2076,2424,5699,2129,389,1317,543,69,13
Rapides,7286,12975,26938,16486,2921,8475,4730,75,17
Red River,630,1260,2420,805,171,362,144,67,9
Richland,1909,3071,4198,1929,279,1143,531,62,13
Sabine,1638,2848,6300,2517,378,1067,640,71,11
St. Bernard,4403,7456,16745,9588,1993,2777,1165,73,9
St. Charles,2071,3848,10662,6418,1379,3663,1510,80,18
St. Helena,738,1372,2565,957,130,413,314,68,11
St. James,1184,2162,5802,2034,366,840,452,74,10
St. John the Baptist,1879,3988,9880,5335,1021,2363,911,77,13
St. Landry,10756,9596,17827,7961,1704,3765,1983,62,11
St. Martin,5635,5357,11202,4112,780,1676,855,63,9
St. Mary,4629,6666,12694,5221,826,2286,836,66,9
St. Tammany,5855,13980,32584,29852,5866,23186,11636,84,28
Tangipahoa,5869,11194,20531,11150,1408,6531,3226,72,16
Tensas,642,906,1327,650,60,424,199,63,15
Terrebonne,9615,11231,22649,10096,1928,5451,2301,67,12
Union,1415,2783,5943,2602,327,1196,553,72,12
Vermilion,5346,6206,12770,4740,945,2566,1043,66,11
Vernon,1760,4065,10690,7401,1448,2678,1287,80,14
Washington,3018,5865,11227,4198,591,1842,1213,68,11
Webster,2700,5374,9941,5101,1075,2355,1141,71,13
West Baton Rouge,1226,2323,5422,2551,341,1092,392,73,11
West Carroll,1128,2106,2785,1093,124,501,257,60,10
West Feliciana,1230,3795,2582,1901,104,688,449,53,11
Winn,1288,2548,4439,1509,268,656,385,65,9
