name,Low,Moderate,High
Acadia,10003,9287,1881
Allen,3764,3547,816
Ascension,7125,14039,5609
Assumption,3412,3838,967
Avoyelles,7636,6071,1042
Beauregard,4583,6003,1544
Bienville,3160,2533,413
Bossier,11495,19030,6146
Caddo,39759,43584,14723
Calcasieu,24751,32678,11328
Caldwell,1815,1791,319
Cameron,1367,1792,433
Catahoula,2221,1521,346
Claiborne,3110,2580,598
Concordia,4039,2977,522
De Soto,4464,4378,838
East Baton Rouge,54113,70152,32256
East Carroll,1716,1079,173
East Feliciana,2796,2896,995
Evangeline,7171,4556,1042
Franklin,4151,3177,461
Grant,3078,3249,729
Iberia,10709,11546,3064
Iberville,4748,4543,1381
Jackson,2717,2729,668
Jefferson,55096,89257,32071
Jefferson Davis,5295,5103,1121
Lafayette,25129,34162,13121
Lafourche,11696,16337,4060
LaSalle,2343,2488,457
Lincoln,7188,6168,1893
Livingston,9891,17797,4966
Madison,2537,1670,252
Morehouse,5685,4777,948
Natchitoches,6957,5814,1483
Orleans,87368,75583,25414
Ouachita,21749,24816,8711
Plaquemines,3055,4355,1591
Pointe Coupee,3537,3908,1008
Rapides,20071,21237,5853
Red River,1788,1374,247
Richland,3881,2981,639
Sabine,4357,4019,861
St. Bernard,8487,13058,3520
St. Charles,4320,8287,3786
St. Helena,1934,1581,350
St. James,2621,3222,1156
St. John the Baptist,4601,7176,2473
St. Landry,17091,12797,2444
St. Martin,7289,8067,1765
St. Mary,8739,8520,2012
St. Tammany,17230,32639,19412
Tangipahoa,15953,16432,4131
Tensas,1404,827,204
Terrebonne,13127,17567,5323
Union,3751,4225,888
Vermilion,8732,8982,2122
Vernon,6982,9572,1722
Washington,8426,6704,1324
Webster,7345,7536,1625
West Baton Rouge,2581,3891,1200
West Carroll,2260,1854,354
West Feliciana,1195,1701,726
Winn,2910,2521,495
