name,Less_10k,10To14k,15To24k,25To34k,35To49k,50To74k,75To99k,100To149k,150To199k,More_200k
Acadia ,"4,218","2,289","3,496","2,883","3,406","2,998",905,587,186,203
Allen ,"1,484",790,"1,490","1,092","1,234","1,221",454,260,45,57
Ascension ,"2,627","1,689","2,809","3,236","4,357","6,446","3,397","1,809",197,206
Assumption ,"1,529",768,"1,115","1,133","1,219","1,486",573,273,58,63
Avoyelles ,"3,450","1,836","2,350","1,991","2,102","1,978",516,335,102,89
Beauregard ,"1,560","1,057","1,966","1,894","2,025","2,084",865,502,106,71
Bienville ,"1,448",736,976,869,900,764,255,115,17,26
Bossier ,"3,864","2,552","5,079","4,844","6,734","7,452","3,479","1,865",359,443
Caddo ,"15,216","8,587","15,956","13,448","15,032","15,104","7,029","4,714","1,308","1,672"
Calcasieu ,"9,019","5,746","9,986","9,271","11,079","12,328","6,100","3,533",767,928
Caldwell ,736,401,678,573,597,621,168,106,16,29
Cameron ,414,284,669,464,617,711,274,108,20,31
Catahoula ,891,549,781,541,596,384,190,103,25,28
Claiborne ,"1,401",680,"1,029",774,"1,049",757,334,176,30,58
Concordia ,"1,666",909,"1,464",961,"1,059",957,297,141,54,30
De Soto ,"2,011",955,"1,498","1,297","1,520","1,561",510,251,23,54
East Baton Rouge ,"20,620","11,437","22,056","19,790","23,614","26,748","15,161","11,158","2,900","3,037"
East Carroll ,840,339,537,477,365,237,92,45,6,30
East Feliciana ,"1,097",627,"1,072",818,933,"1,145",595,272,40,88
Evangeline ,"3,783","1,440","1,948","1,530","1,587","1,439",654,254,63,71
Franklin ,"1,812",960,"1,379","1,285","1,013",879,222,144,32,63
Grant ,"1,201",698,"1,179","1,031","1,185","1,033",422,224,38,45
Iberia ,"4,432","2,390","3,887","3,301","4,034","4,211","1,639",960,233,232
Iberville ,"2,046",901,"1,801","1,368","1,569","1,606",765,428,85,103
Jackson ,"1,169",673,875,849,"1,028",852,386,215,33,34
Jefferson ,"17,725","12,509","24,862","25,357","30,474","33,426","15,893","10,439","2,518","3,221"
Jefferson Davis ,"2,128","1,233","1,934","1,580","1,891","1,632",677,317,58,69
Lafayette ,"9,062","5,928","10,139","9,588","11,551","13,023","6,255","4,448","1,107","1,311"
Lafourche ,"4,499","2,721","4,476","4,385","5,883","6,069","2,256","1,170",246,388
La Salle ,"1,012",565,766,765,842,881,234,178,18,27
Lincoln ,"3,532","1,448","2,208","1,740","2,106","2,322","1,111",465,164,153
Livingston ,"3,369","2,091","4,431","4,600","6,104","7,093","3,071","1,483",240,172
Madison ,"1,040",638,859,633,640,397,158,60,9,25
Morehouse ,"2,412","1,310","1,963","1,446","1,562","1,769",490,304,48,106
Natchitoches ,"3,241","1,437","2,279","1,948","2,125","1,741",784,430,133,136
Orleans ,"39,617","17,991","29,760","25,460","26,399","23,724","10,802","7,920","2,620","4,072"
Ouachita ,"9,052","4,573","8,124","7,651","8,486","8,679","4,534","2,637",677,863
Plaquemines ,"1,241",677,"1,137","1,100","1,671","1,584",902,479,76,134
Pointe Coupee ,"1,436",829,"1,272","1,114","1,337","1,457",521,353,53,81
Rapides ,"7,625","4,580","7,866","6,583","7,356","7,298","2,805","1,950",396,702
Red River ,748,398,642,517,452,405,148,59,13,27
Richland ,"1,649",933,"1,299","1,009","1,012",960,323,201,47,68
Sabine ,"1,762",981,"1,614","1,322","1,475","1,222",435,268,77,81
St. Bernard ,"2,818","2,033","3,636","3,738","4,176","5,144","2,188","1,048",139,145
St. Charles ,"1,447",869,"2,004","1,958","2,734","3,595","1,968","1,330",305,183
St. Helena ,784,468,682,503,585,493,195,112,28,15
St. James ,"1,149",570,902,860,980,"1,382",700,377,35,44
St. John the Baptist ,"1,852",859,"1,890","1,767","2,365","3,044","1,510",820,68,75
St. Landry ,"8,266","3,780","5,045","4,165","4,450","4,182","1,324",767,155,198
St. Martin ,"3,101","1,626","2,562","2,145","3,015","2,907","1,110",479,69,107
St. Mary ,"3,561","2,036","3,142","2,515","3,093","2,912","1,256",595,76,85
St. Tammany ,"5,632","3,717","7,881","7,787","10,887","13,965","8,592","6,865","2,022","1,933"
Tangipahoa ,"7,131","3,275","5,547","5,007","5,596","5,829","2,231","1,386",207,307
Tensas ,632,337,435,356,277,194,60,92,9,43
Terrebonne ,"4,948","2,881","5,298","4,752","6,105","6,710","2,968","1,455",459,441
Union ,"1,397",888,"1,466","1,420","1,390","1,415",536,261,48,43
Vermilion ,"3,604","1,791","3,337","2,619","3,115","3,248","1,194",658,152,118
Vernon ,"2,218","1,391","3,373","3,328","3,389","2,855","1,118",424,128,52
Washington ,"3,411","1,769","3,246","2,536","2,058","2,110",771,384,79,90
Webster ,"2,749","1,581","3,015","2,482","2,646","2,408",867,481,114,163
West Baton Rouge ,992,537,"1,052","1,006","1,427","1,458",629,469,48,54
West Carroll ,895,501,864,605,661,588,209,94,17,34
West Feliciana ,537,270,388,379,611,711,364,243,57,62
Winn ,"1,278",616,"1,016",963,842,716,281,158,44,12
