name,Total_Pop,25To24,35To44,45To54,55To59,60To64,65To74,75To84,More_85,More_25
Acadia ,"58,861","7,267","8,885","7,190","2,769","2,350","3,960","2,387",873,35681
Allen ,"25,440","4,171","4,321","3,065","1,223","1,014","1,729",957,316,16796
Ascension ,"76,627","11,715","13,259","9,804","3,312","2,326","3,384","1,939",569,46308
Assumption ,"23,388","3,032","3,672","3,088","1,192",917,"1,408",862,275,14446
Avoyelles ,"41,481","5,683","6,329","5,126","1,988","1,742","2,953","1,976",746,26543
Beauregard ,"32,986","4,362","5,114","4,443","1,746","1,496","2,285","1,219",421,21086
Bienville ,"15,752","1,700","2,182","1,946",832,765,"1,367",918,486,10196
Bossier ,"98,310","13,720","16,308","12,456","4,442","4,021","6,021","3,235","1,003",61206
Caddo ,"252,161","32,522","36,634","33,510","11,786","10,128","17,774","12,075","4,595",159024
Calcasieu ,"183,577","23,793","28,912","24,220","8,492","7,248","12,399","7,152","2,208",114424
Caldwell ,"10,560","1,409","1,604","1,406",529,523,787,516,164,6938
Cameron ,"9,991","1,218","1,744","1,257",490,445,660,293,105,6212
Catahoula ,"10,920","1,282","1,650","1,469",500,540,868,516,189,7014
Claiborne ,"16,851","2,088","2,439","2,126",853,777,"1,462","1,019",434,11198
Concordia ,"20,247","2,162","3,027","2,702","1,040",916,"1,690",964,317,12818
De Soto ,"25,494","2,934","3,763","3,440","1,350","1,069","1,910","1,182",492,16140
East Baton Rouge ,"412,852","57,612","60,865","54,097","18,172","13,523","22,040","14,359","4,533",245201
East Carroll ,"9,421","1,241","1,322","1,015",392,336,637,364,173,5480
East Feliciana ,"21,360","2,943","3,613","3,080","1,103",875,"1,262",735,271,13882
Evangeline ,"35,434","4,471","5,313","4,171","1,637","1,428","2,474","1,526",522,21542
Franklin ,"21,263","2,511","2,983","2,574","1,053","1,027","1,681","1,130",447,13406
Grant ,"18,698","2,422","2,833","2,422","1,037",841,"1,309",795,271,11930
Iberia ,"73,266","9,363","11,453","9,025","3,243","2,795","4,497","2,881",981,44238
Iberville ,"33,320","4,781","5,565","4,396","1,462","1,302","1,990","1,237",353,21086
Jackson ,"15,397","1,809","2,144","2,000",875,760,"1,251",864,372,10075
Jefferson ,"455,466","64,551","73,201","64,824","23,741","17,911","30,025","18,915","5,375",298543
Jefferson Davis ,"31,435","3,845","4,727","3,730","1,500","1,372","2,288","1,450",439,19351
Lafayette ,"190,503","27,790","31,704","24,625","7,547","6,298","10,450","5,707","1,965",116086
Lafourche ,"89,974","12,333","14,360","11,390","4,244","3,497","5,784","3,338","1,021",55967
La Salle ,"14,282","1,777","2,103","1,853",720,651,"1,143",722,245,9214
Lincoln ,"42,509","4,894","4,973","4,472","1,633","1,383","2,401","1,715",703,22174
Livingston ,"91,814","13,569","15,347","12,050","4,331","3,285","4,715","2,433",664,56394
Madison ,"13,728","1,725","1,773","1,607",569,446,847,533,215,7715
Morehouse ,"31,021","3,771","4,428","3,980","1,393","1,272","2,501","1,629",556,19530
Natchitoches ,"39,080","4,519","4,978","4,566","1,733","1,414","2,512","1,609",601,21932
Orleans ,"484,674","70,466","71,497","63,690","21,068","16,658","28,949","20,296","7,408",300032
Ouachita ,"147,250","19,885","21,178","17,961","6,514","5,484","9,524","5,943","1,965",88454
Plaquemines ,"26,757","3,645","4,518","3,409","1,272","1,034","1,623",783,207,16491
Pointe Coupee ,"22,763","2,613","3,530","3,134","1,147",979,"1,755",998,407,14563
Rapides ,"126,337","15,883","19,333","16,629","6,212","5,406","8,950","5,672","1,870",79955
Red River ,"9,622","1,072","1,315","1,181",478,407,699,509,175,5836
Richland ,"20,981","2,481","3,132","2,534",982,889,"1,603","1,114",435,13170
Sabine ,"23,459","2,586","3,172","3,014","1,472","1,242","2,169","1,284",420,15359
St. Bernard ,"67,229","8,780","10,857","9,337","3,241","2,597","5,283","3,199",780,44074
St. Charles ,"48,072","6,102","8,976","6,604","2,025","1,488","2,589","1,321",398,29503
St. Helena ,"10,525","1,252","1,500","1,461",480,508,732,418,161,6512
St. James ,"21,216","2,581","3,384","2,716",918,916,"1,352",723,287,12877
St. John the Baptist ,"43,044","5,817","7,200","5,743","1,907","1,434","1,931","1,079",346,25457
St. Landry ,"87,700","10,375","12,846","10,763","4,223","3,769","6,488","3,903","1,367",53734
St. Martin ,"48,583","6,486","7,884","6,128","2,310","1,870","2,747","1,640",533,29598
St. Mary ,"53,500","6,730","8,615","6,842","2,608","2,265","3,422","1,885",592,32959
St. Tammany ,"191,268","22,986","34,112","29,703","9,733","7,125","10,993","6,329","1,838",122819
Tangipahoa ,"100,588","13,154","14,723","13,095","4,590","3,677","6,041","3,456","1,193",59929
Tensas ,"6,618",676,982,938,323,257,514,358,156,4204
Terrebonne ,"104,503","14,270","16,881","13,267","4,866","3,923","5,934","3,262",990,63393
Union ,"22,803","2,805","3,243","3,021","1,245","1,163","1,844","1,131",425,14877
Vermilion ,"53,807","6,671","8,498","6,560","2,398","2,226","3,833","2,482",957,33625
Vernon ,"52,531","9,378","7,130","5,144","2,015","1,649","2,503","1,256",409,29484
Washington ,"43,926","5,347","6,389","5,726","2,293","1,929","3,345","2,238",709,27976
Webster ,"41,831","4,808","6,063","5,440","2,341","2,080","3,595","2,352",870,27549
West Baton Rouge ,"21,601","2,931","3,676","2,850","1,006",834,"1,221",713,163,13394
West Carroll ,"12,314","1,431","1,836","1,530",640,613,971,664,278,7963
West Feliciana ,"15,111","2,660","3,389","2,480",667,444,647,309,134,10730
Winn ,"16,894","2,306","2,579","2,246",858,728,"1,204",859,303,11083
