name,Pop_25+,White,BlackHispanicLatino,Prop_W,Prop_BHL,Total_Damage,Prop_Damages
Acadia,35573,29443,5893,0.8277,0.1657,5318,0.1495
Allen,16817,11261,5040,0.6696,0.2997,3640,0.2164
Ascension,46258,36671,9078,0.7927,0.1962,4223,0.0913
Assumption,14411,10136,3961,0.7034,0.2749,2045,0.1419
Beauregard,21036,17839,2639,0.8480,0.1255,6176,0.2936
Calcasieu,114563,86556,26295,0.7555,0.2295,44170,0.3856
Cameron,6257,5805,254,0.9278,0.0406,3241,0.5180
East Baton Rouge,245296,147950,90569,0.6031,0.3692,17153,0.0699
East Feliciana,13877,7560,6143,0.5448,0.4427,1152,0.0830
Evangeline,21511,15902,5517,0.7392,0.2565,1670,0.0776
Iberia,43965,30524,12160,0.6943,0.2766,6535,0.1486
Iberville,21101,11112,9916,0.5266,0.4699,2239,0.1061
Jefferson,298761,210850,75673,0.7057,0.2533,93872,0.3142
Jefferson Davis,19352,15963,3138,0.8249,0.1622,5779,0.2986
Lafayette,116183,88464,25769,0.7614,0.2218,4662,0.0401
Lafourche,55891,48094,6283,0.8605,0.1124,9336,0.1670
Livingston,56528,53071,2758,0.9388,0.0488,7153,0.1265
Orleans,300568,99119,194041,0.3298,0.6456,134664,0.4480
Plaquemines,16448,11765,3758,0.7153,0.2285,7217,0.4388
Pointe Coupee,14577,9379,4973,0.6434,0.3412,938,0.0643
Rapides,79811,55885,22273,0.7002,0.2791,56,0.0007
Sabine,15388,11703,2463,0.7605,0.1601,1508,0.0980
St. Bernard,44127,38196,4752,0.8656,0.1077,20247,0.4588
St. Charles,29551,21744,7450,0.7358,0.2521,8137,0.2754
St. Helena,6489,3327,3081,0.5127,0.4748,1757,0.2708
St. James,12840,6975,5790,0.5432,0.4509,2464,0.1919
St. John the Baptist,25377,14238,10827,0.5611,0.4266,6609,0.2604
St. Landry,53592,32409,20823,0.6047,0.3885,5078,0.0948
St. Martin,29617,20554,8726,0.6940,0.2946,2551,0.0861
St. Mary,33158,22010,10057,0.6638,0.3033,4637,0.1398
St. Tammany,122959,106619,13638,0.8671,0.1109,48812,0.3970
Tangipahoa,59909,43887,15244,0.7326,0.2545,16242,0.2711
Terrebonne,63271,48941,10796,0.7735,0.1706,11392,0.1801
Vermilion,33616,28526,4373,0.8486,0.1301,7703,0.2291
Vernon,29329,22411,5334,0.7641,0.1819,4439,0.1514
Washington,27954,19744,7869,0.7063,0.2815,11147,0.3988
West Baton Rouge,13347,8645,4593,0.6477,0.3441,1079,0.0808
West Feliciana,10749,5056,5518,0.4704,0.5134,310,0.0288
